event_date,source,medium,campaign,user_session_count,cart_add_count,visit_to_cart,checkout_count,visit_to_checkout,purchase_count,visit_to_purchase
2021-01-30,<Other>,organic,(organic),94,2,0.021,0,0.0,0,0.0
2021-01-30,<Other>,referral,(referral),276,8,0.029,2,0.007,2,0.007
2021-01-30,google,cpc,<Other>,129,4,0.031,0,0.0,0,0.0
2021-01-30,google,organic,(organic),863,29,0.034,16,0.019,6,0.007
2021-01-30,shop.googlemerchandisestore.com,referral,(referral),213,11,0.052,6,0.028,4,0.019
2021-01-31,(data deleted),(data deleted),(data deleted),137,8,0.058,3,0.022,2,0.015
2021-01-31,(data deleted),(data deleted),<Other>,5,1,0.2,1,0.2,0,0.0
2021-01-31,(direct),(none),(direct),631,30,0.048,14,0.022,7,0.011
2021-01-31,<Other>,(data deleted),(data deleted),3,0,0.0,0,0.0,0,0.0
2021-01-31,<Other>,<Other>,<Other>,404,17,0.042,10,0.025,4,0.01
2021-01-31,<Other>,organic,(organic),67,1,0.015,1,0.015,0,0.0
2021-01-31,<Other>,referral,(referral),256,4,0.016,4,0.016,0,0.0
2021-01-31,google,cpc,<Other>,152,0,0.0,0,0.0,0,0.0
2021-01-31,google,organic,(organic),888,31,0.035,15,0.017,4,0.005
2021-01-31,shop.googlemerchandisestore.com,referral,(referral),215,8,0.037,6,0.028,1,0.005
